Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
Aurora,Colorado,https://data-auroraco.opendata.arcgis.com/search?q=police,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Delaware,https://data.delaware.gov/browse?category=Public+Safety&limitTo=datasets,5/19/2022,sowdm,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover,Delaware,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilmington,Delaware,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Florida,https://geodata.floridagio.gov/,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallahassee,Florida,https://geodata-tlcgis.opendata.arcgis.com/search?q=police,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Georgia,https://data.georgia.gov/,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macon,Georgia,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Hawaii,https://opendata.hawaii.gov/group/public-safety-group,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honolulu,Hawaii,https://data.honolulu.gov/browse?category=Public+Safety&limitTo=datasets&utf8=%E2%9C%93,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Idaho,https://gis-idaho.hub.arcgis.com/,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise,Idaho,https://opendata.cityofboise.org/search?q=police,5/19/2022,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Illinois,https://data.illinois.gov/group/safety,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Illinois,https://springfield.demo.socrata.com/browse?category=Public+Safety&limitTo=datasets,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Indiana,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,Indiana,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Iowa,https://data.iowa.gov/browse?category=Public+Safety&limitTo=datasets,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des Moines,Iowa,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Rapids,Iowa,,5/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Kansas,,5/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City,Missouri,https://data.kcmo.org/browse?limitTo=datasets&q=police&sortBy=relevance,5/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topeka,Kansas,https://data.topeka.org/search?q=police,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Kentucky,https://opengisdata.ky.gov/,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington,Kentucky,https://data.lexingtonky.gov/search?q=police,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankfort,Kentucky,,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Louisiana,,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baton Rouge,Louisiana,https://data.brla.gov/browse?limitTo=datasets&q=police&sortBy=relevance,1/18/2023,sowdm,,Issue #131,,,,,,,,,,,,,,,,,,Issue #131,,,,,,,,,,,,,,,,,,,,,
Shreveport,Louisiana,,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,Maine,,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond County Sheriff,Georgia,https://geohub-augustagis.opendata.arcgis.com/pages/opendata,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta,Maine,,5/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Maryland,https://opendata.maryland.gov/browse?category=public+safety&limitTo=datasets,5/26/2022,sowdm,,,https://opendata.maryland.gov/stories/s/ggbs-m2rv,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annapolis,Maryland,,5/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Massachusetts,https://www.mass.gov/orgs/post-commission,10/18/2023,sowdm,,,,,,,,,,,,,,,,,Added,,Added,,,,,,,,,,,,,,,,,,,,,,
San Diego County Sheriff,California,https://www.sdsheriff.gov/resources/open-data,1/15/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman,Oklahoma,https://www.normanok.gov/public-safety/police-department/open-data-portal,3/22/2023,sowdm,,,,,,Issue #78,,,Issue #78,Issue #78,,,,,,,,,Issue #78,,,,,,,,,,,,,,,,Issue #78,,,,,,
Michigan,Michigan,data.michigan.gov,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit,Michigan,https://data.detroitmi.gov/search?q=police,6/29/2022,sowdm,,,,,,,,Added,,Added,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Lansing,Michigan,https://data-lansing.opendata.arcgis.com/search?tags=Police,6/29/2022,sowdm,,,,,,,,,,Added,,,,,,,,,,,Added,,,,,,,,,,Added,,,,,,,,,,
Bridgeport,West Virginia,https://data-cobwv.opendata.arcgis.com/search?q=police,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Minnesota,https://www.state.mn.us/opendata/data.html#publicsafety,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Paul,Minnesota,https://information.stpaul.gov/search?q=police,6/29/2022,sowdm,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,
Minneapolis,Minnesota,https://opendata.minneapolismn.gov/search?q=police,3/22/2023,sowdm,,,,,,,,,,,,,,,,,,,,Added,Added,,,,Added,,,,,,,,,,Added,,,,,,
Duluth,Minnesota,https://data-duluthmn.opendata.arcgis.com/search?q=police,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Mississippi,https://opendata.gis.ms.gov/search?q=police,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Mississippi,https://open.jacksonms.gov/dataset?q=police,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,Missouri,https://data.mo.gov/browse?limitTo=datasets&q=police&sortBy=relevance,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson City,Missouri,,6/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flint,Michigan,,7/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden County,New Jersey,https://camdencountynj-ccdpw.opendata.arcgis.com/search?q=police,7/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert,Arizona,https://data.gilbertaz.gov/search?q=police,8/16/2022,sowdm,,,,,,,,Added,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,
Anaheim,California,https://main-anaheim.opendata.arcgis.com/search?q=police,1/15/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakersfield,California,https://bakersfielddatalibrary-cob.opendata.arcgis.com/search?q=police,1/15/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach,California,https://data.longbeach.gov/explore/?q=police&sort=modified,8/16/2022,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,Issue #49,,,,,,,,,,,,,,,,
Oakland,California,"https://data.oaklandca.gov/browse?limitTo=datasets&q=police&sortBy=relevance, https://www.oaklandca.gov/topics/police-data",8/16/2022,sowdm,,,,,,,,Issue #78,,,,,,,,,,,,,,,,,Issue #78,,,,,,,,,,Added,,,,,,
San Bernadino County,California,https://open.sbcounty.gov/search?q=police,8/16/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernadino ,California,,8/16/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose,California,https://data.sanjoseca.gov/dataset?q=police,3/22/2023,sowdm,,Added,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana,California,https://gis-santa-ana.opendata.arcgis.com/search?q=police,8/16/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton,California,https://data.stocktonca.gov/browse?limitTo=datasets&q=police&sortBy=relevance,8/16/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Petersburg,Florida,https://stat.stpete.org/browse?limitTo=datasets&q=police&sortBy=relevance,8/16/2022,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Wayne,Indiana,,8/16/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,Montana,https://data.mt.gov/Datasets?search=police,8/16/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helena,Montana,https://gisdata-helenamtmaps.opendata.arcgis.com/search?q=police,8/16/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozeman,Montana,https://public-bozeman.opendata.arcgis.com/search?q=police,8/16/2022,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Nebraska,https://www.nebraska.gov/government/open-data/#gsc.tab=0,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omaha,Nebraska,https://data-dogis.opendata.arcgis.com/search?q=police,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Nevada,,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,Nevada,"https://opendataportal-lasvegas.opendata.arcgis.com/search?q=police, https://opendata-lvmpd.hub.arcgis.com/",8/17/2022,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno,Nevada,https://data-cityofreno.opendata.arcgis.com/search?q=police,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada,https://data-carsoncity.opendata.arcgis.com/search?q=police,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson,Nevada,https://opendata.cityofhenderson.com/browse?q=police&sortBy=relevance,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,New Hampshire,,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,New Hampshire,,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester,New Hampshire,https://www.manchesternh.gov/Departments/Police/Administrative-Division/Crime-Data/Police-Public-Data-Dashboard,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trenton,New Jersey,,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,New Jersey,https://data.ci.newark.nj.us/dataset?q=police,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic City,New Jersey,,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,New Mexico,,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque,New Mexico,https://www.cabq.gov/abq-data,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe,New Mexico,,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,New York,https://data.ny.gov/browse?limitTo=datasets&q=police&sortBy=relevance,8/17/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,New York,https://data.buffalony.gov/browse?limitTo=datasets&q=police&sortBy=relevance,8/17/2022,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,Added,Added,,,,,,,,
Albany,New York,https://data.albanyny.gov/browse?limitTo=datasets&q=police&sortBy=relevance,8/18/2022,sowdm,,,,,,Added,,Added,,Added,,,,,,,,,Added,Added,,,,,,,,,,Added,,,,,Added,,,,,,
North Carolina,North Carolina,,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raleigh,North Carolina,https://data.raleighnc.gov/search?collection=Dataset&q=police,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,North Carolina,https://live-durhamnc.opendata.arcgis.com/search?q=police,3/22/2023,sowdm,,,,,,Added,,Added,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Winston-Salem,North Carolina,,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensboro,North Carolina,https://data.greensboro-nc.gov/search?q=police,8/18/2022,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,Added,Added,,
Bismarck,North Dakota,https://public-bismarck.opendata.arcgis.com/search?q=police,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,North Dakota,https://gishubdata-ndgov.hub.arcgis.com/search?q=police,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fargo,North Dakota,,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Forks,North Dakota,https://data-gfgis.opendata.arcgis.com/search?q=police,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Ohio,https://data.ohio.gov/wps/portal/gov/data/home,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Ohio,,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,Ohio,https://opendata.columbus.gov/search?q=police,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,Ohio,https://data.toledo.gov/search?q=police,8/18/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,Ohio,https://dayton-transparency-portal-1-daytonohio.hub.arcgis.com/,8/18/2022,sowdm,,,,,,Added,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,Added,,,,,,
Akron,Ohio,,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton,Ohio,,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton,Georgia,https://map-cantonga.opendata.arcgis.com/search?q=police,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Oklahoma,https://data.ok.gov/dataset?q=police,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City,Oklahoma,https://data.okc.gov/portal/page/start,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,Oklahoma,https://gis2-cityoftulsa.opendata.arcgis.com/search?q=police,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Oregon,https://data.oregon.gov/browse?q=police&sortBy=relevance,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem,Oregon,https://data.cityofsalem.net/search?q=police,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bend,Oregon,,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugene,Oregon,https://gis-eugene-pwe.opendata.arcgis.com/search?q=police,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Pennsylvania,https://gis-eugene-pwe.opendata.arcgis.com/search?q=police,8/19/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,Pennsylvania,https://data.wprdc.org/organization/city-of-pittsburgh?page=1,8/22/2022,sowdm,,,,,,Added,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,
Erie,Pennsylvania,,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisburg,Pennsylvania,https://harrisburg-open-data-cohbg.opendata.arcgis.com/search?q=police,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Rhode Island,,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,South Carolina,,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,South Carolina,https://coc-colacitygis.opendata.arcgis.com/search?q=police,8/22/2022,sowdm,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,South Dakota,,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre,South Dakota,,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux Falls,South Dakota,https://dataworks.siouxfalls.org/search?q=police,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Tennessee,https://data.tn.gov/dataset,8/22/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,Tennessee,https://data.memphistn.gov/browse?q=police&sortBy=relevance,3/22/2023,sowdm,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Nashville,Tennessee,https://data.nashville.gov/browse?limitTo=datasets&q=police&sortBy=relevance,8/22/2022,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Texas,https://data.texas.gov/browse?Dataset-Category_Category-Tile=Public+Safety&limitTo=datasets,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,Texas,https://policetransparency-mycity.hub.arcgis.com/#datadashboards,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,Texas,"https://data.sanantonio.gov/dataset?q=police, https://www.sanantonio.gov/SAPD/SAPD-Open-Data-Initiative",8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso,Texas,,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth,Texas,https://data.fortworthtexas.gov/browse?limitTo=datasets&q=police,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington,Texas,https://opendata.arlingtontx.gov/search?q=police,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garland,Texas,https://data-garland.opendata.arcgis.com/search?q=police,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubbock,Texas,,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plano,Texas,https://dashboard.plano.gov/stories/s/Plano-Police/9kjp-ac4p/,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,Utah,https://opendata.utah.gov/browse?limitTo=datasets&q=police&sortBy=relevance,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montpelier,Vermont,,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,Washington,https://data.wa.gov/browse?limitTo=datasets&q=police,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spokane,Washington,"https://spokaneopendata.org/search/, https://data-spokane.opendata.arcgis.com/search?q=police",8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympia,Washington,,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,Wisconsin,,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,Wisconsin,"https://data.milwaukee.gov/dataset?q=police, https://data.milwaukee.gov/organization/fire-and-police-commission",3/22/2023,sowdm,,,,,,,,,,Issue #78,,,,,,,,,,,,,,,,,,,,,Issue #78,,,,,,,,,,
Madison,Wisconsin,https://data-cityofmadison.opendata.arcgis.com/search?q=police,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Wyoming,,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Wyoming,,8/23/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,West Virginia,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,West Virginia,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,California,https://data.cityofberkeley.info/browse?limitTo=datasets&q=police,1/15/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,"Issue #131 – 1 dataset already included, I think",,,,,,,,,,,,,,,,
California City,California,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge,Massachusetts,https://data.cambridgema.gov/browse?limitTo=datasets&q=police,3/28/2023,sowdm,,Added,,,,,,Added,Added,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Chattanooga,Tennessee,https://www.chattadata.org/browse?limitTo=datasets&q=police&sortBy=relevance,8/27/2023,sowdm,,,,,,Added,,,Multi-agency: https://www.chattadata.org/Public-Safety/City-Court-Citations-Detailed/th6b-88wc,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chula Vista,California,https://www.chulavistaca.gov/departments/police-department/opendata-documents,1/15/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeur d'Alene,Idaho,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Missouri,https://www.como.gov/police/data-reporting-forms/,3/28/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,
Corona,California,https://corstat.coronaca.gov/browse?limitTo=datasets&q=police&sortBy=relevance,1/15/2023,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuyahoga County,Ohio,https://data-cuyahoga.opendata.arcgis.com/search?q=police,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danville,Virginia,https://data-danvillegis.opendata.arcgis.com/search?q=police,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doral,Florida,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easthampton,Massachusetts,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls Church,Virginia,https://opendata-fallschurch.opendata.arcgis.com/search?q=police,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayetteville,Arkansas,https://data-fayetteville-ar.opendata.arcgis.com/search?q=police,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floral Park,Florida,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Shores,Alabama,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlingen ,Texas,,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
