Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
Connecticut,Connecticut,https://data.ct.gov/browse?category=Public+Safety,3/31/2022,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,
Lincoln,Nebraska,https://opendata.lincoln.ne.gov/search?tags=safety&type=table%2Cfeature%20layer,3/2/2023,sowdm,,Added,,,,,,Added,,,,,,,,,,,,Added,,,,,,,,,,,Added,,,,Issue #131,,,,,Added,Use of force data is labeled use of control
Mesa,Arizona,https://data.mesaaz.gov/browse?category=Public+Safety,3/6/2023,sowdm,,,,,,,,Added,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Newport News,Virginia,https://www.nnva.gov/2229/Open-Data,3/31/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northampton,Massachusetts,https://northamptonpd.com/open-data-portal.html,12/13/2022,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,Added,
Palo Alto,California,https://data.cityofpaloalto.org/home,3/31/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,California,https://data.sandiego.gov/datasets/?department=police,3/7/2023,sowdm,,,Added,Added,,,,Added,,Update when tags added to source table,,,,,,,,,,,,,,,"Issue #131, Issue #143",,,,,,,,,,,,,,,,
Springfield,Missouri,https://www.springfieldmo.gov/856/Police-Data,3/31/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferndale ,Michigan,https://data-ferndale.opendata.arcgis.com/search?tags=safety,3/7/2023,sowdm,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Kentucky,https://data.louisvilleky.gov/search?q=police,3/7/2023,sowdm,,,,,,,,,#131,,,,,,,,,Added,,Added,Issue #202,,,,,,,,,,Added,,,,,,,,,,
